TRACTCE,Pct_20+Complex,Pct_NoVehicle,Pct_Rent35%orMore,Pct_AccessToComputer,Pct_AccessToBroadband,Data type
5002,0.8040804918949134,0.6106032906764168,0.30514859773964004,0.9341864716636198,0.8004265691651432,Training data
10700,0.91396933560477,0.6240808823529411,0.4597207303974221,0.9797794117647058,0.8731617647058824,Training data
4902,0.6937095825984715,0.4261904761904762,0.27111984282907664,0.9404761904761905,0.8910714285714286,Test data
4802,0.38696109358569925,0.4376731301939058,0.31840110268780153,0.9224376731301939,0.8603878116343491,Training data
9602,0.1868869385647909,0.6078536847767617,0.5136459062281316,0.7939752555137171,0.5373856912318451,Training data
8802,0.09429280397022333,0.34235229155162894,0.3536945812807882,0.864715626725566,0.7277747101049145,Training data
8903,0.21008403361344538,0.34990189666448657,0.5112033195020746,0.9287115761935906,0.7972531066056245,Training data
4701,0.831275720164609,0.4926410466067048,0.30934479054779807,0.8798037612428454,0.7706459525756337,Training data
10100,0.9804134929270947,0.5803782505910166,0.3304953560371517,0.973404255319149,0.9131205673758865,Test data
8904,0.005301204819277108,0.5449500554938956,0.3402462734931951,0.7802441731409545,0.5832408435072142,Test data
5600,0.9076558800315706,0.6064036222509702,0.45807540799099605,1.0,0.9139715394566623,Training data
7807,0.005268703898840885,0.3397590361445783,0.40601503759398494,0.8674698795180723,0.6746987951807228,Training data
7100,0.27062937062937065,0.41453982985305493,0.3972413793103448,0.9443155452436195,0.8762567672080434,Training data
7709,0.055322715842414084,0.4087117701575533,0.4792626728110599,0.8239110287303059,0.6635773864689527,Training data
7707,0.08132361189007291,0.36114494518879414,0.41852286049237986,0.794762484774665,0.6498172959805115,Test data
7200,0.8973627940128297,0.3389830508474576,0.23187052598817304,0.9647979139504563,0.9397653194263363,Training data
9902,0.06221198156682028,0.25467497773820125,0.6805555555555556,0.8913624220837043,0.7586821015138023,Training data
11000,0.7178030303030303,0.32637795275590553,0.2708133971291866,0.9417322834645669,0.8409448818897638,Training data
7601,0.11612079965971926,0.38212135247799905,0.5795724465558195,0.8851320055581288,0.6748494673459935,Training data
6400,0.4146341463414634,0.6370539104024298,0.3231046931407942,0.8200455580865603,0.5649202733485194,Training data
7604,0.20176730486008837,0.3372972972972973,0.38974358974358975,0.9205405405405406,0.7659459459459459,Test data
7401,0.1791044776119403,0.6629370629370629,0.5284403669724771,0.6923076923076923,0.5104895104895105,Training data
7301,0.02850877192982456,0.05116279069767442,0.4707846410684474,1.0,0.9565891472868217,Training data
7503,0.03358925143953935,0.46408839779005523,0.5359712230215827,0.8972375690607735,0.7259668508287292,Training data
9603,0.07208672086720867,0.4385342789598109,0.4045996592844974,0.7984633569739953,0.5880614657210402,Training data
7605,0.3755434782608696,0.4225786551511413,0.6035743298131601,0.8982109808760025,0.756940160394818,Training data
8001,0.04915730337078652,0.1343042071197411,0.17378048780487804,0.9563106796116505,0.9773462783171522,Training data
7903,0.00437636761487965,0.1961783439490446,0.24253731343283583,0.9006369426751593,0.8662420382165605,Training data
8100,0.1636245110821382,0.13163335630599587,0.18781725888324874,0.9324603721571331,0.895933838731909,Training data
9604,0.0039177277179236044,0.27533265097236437,0.48739495798319327,0.8382804503582395,0.6530194472876152,Test data
7808,0.0955451348182884,0.3687845303867403,0.3997214484679666,0.81353591160221,0.6464088397790055,Test data
8200,0.19096774193548388,0.2578295702840495,0.25671140939597314,0.9919883466860888,0.9635833940276766,Training data
8002,0.11819306930693069,0.18737407656145064,0.24558303886925795,0.9617192746809939,0.8515782404298187,Training data
9906,0.02103960396039604,0.4896836313617607,0.44015444015444016,0.7537826685006878,0.53232462173315,Training data
7703,0.18051575931232092,0.5114298520842672,0.4758113900796081,0.7471985656656208,0.5203944419542806,Training data
7708,0.023791250959324637,0.6146297948260482,0.6092485549132948,0.8099910793933988,0.5423728813559322,Training data
9904,0.05078416728902166,0.34601769911504426,0.48225214198286415,0.911504424778761,0.6150442477876106,Training data
9903,0.0,0.15082956259426847,0.5957446808510638,0.8657616892911011,0.8265460030165912,Training data
6600,0.10470275066548358,0.22017458777885549,0.2513089005235602,1.0,1.0,Training data
6700,0.041407867494824016,0.2229580573951435,0.19349593495934958,0.9657836644591612,0.9293598233995585,Training data
6801,0.17272727272727273,0.20378151260504201,0.2942708333333333,0.9653361344537815,0.9191176470588235,Training data
9905,0.007407407407407408,0.4588550983899821,0.5349206349206349,0.8613595706618963,0.5500894454382826,Training data
6500,0.1497289972899729,0.26244725738396624,0.3321976149914821,1.0,0.9451476793248945,Test data
10200,0.7857142857142857,0.342536265793168,0.33485342019543973,0.9864295741693964,0.9555451567618156,Training data
10500,0.7868298860278599,0.4451382694023194,0.27446954140999313,0.9540588760035682,0.907671721677074,Training data
6900,0.09206349206349207,0.22240943555181128,0.1028225806451613,0.9233361415332771,0.8786857624262847,Test data
6802,0.0732159406858202,0.12379110251450677,0.19032258064516128,0.988394584139265,0.97678916827853,Test data
9907,0.010594947025264874,0.5434969853574505,0.1879120879120879,0.8294573643410853,0.6442721791559001,Training data
7000,0.020219039595619208,0.15690168818272096,0.11693548387096774,0.9811320754716981,0.9126117179741807,Training data
9901,0.0,0.10113519091847266,0.6690140845070423,0.8792569659442725,0.7739938080495357,Test data
7504,0.13554434030281182,0.5611390284757118,0.6394335511982571,0.855108877721943,0.6683417085427136,Test data
7603,0.03229713362939039,0.23532048408785297,0.4014839241549876,0.8435679067682653,0.8045719408337069,Test data
7407,0.06753246753246753,0.30014025245441794,0.7119244391971665,0.884992987377279,0.7124824684431977,Training data
7502,0.13983050847457626,0.49288840262582057,0.5020026702269693,0.8648796498905909,0.6017505470459519,Test data
10400,0.029989094874591057,0.499691548426897,0.5187713310580204,0.8679827267119062,0.7649599012954966,Training data
7406,0.11208267090620032,0.3383038210624418,0.5370370370370371,0.8648648648648649,0.587138863000932,Training data
7408,0.07251908396946564,0.5285024154589372,0.5172031076581576,0.7719806763285024,0.5526570048309178,Test data
